doc.term,satellit,heart,rule,spac,grow,supress,metastasi,sythet,neuter,hazard,pair,speci,lectin,overexpress,recept,flu,h1n1,antigen,fever,exposun,immunis,delect,nonvaccin,cell,viral,safe,prolifer,dna,seroprotect,loss,learn,deep,genom,machin,featur,model,neural,state,result,show,base,network,data,predict,use,express,transcript,pathway,potenti,sequenc,impact,set,mutat,cluster,differenti,profil,develop
doc3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.73,0.60,0.56,0.98,0.00,0.51,0.95,0.73,0.53,0.44,0.51,0.91,0.00,0.96,0.24,0.00,0.00,0.00,1.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
doc4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.38,0.56,0.60,0.00,0.00,0.00,0.51,0.00,0.00,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51
doc5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.00,0.00,1.30,0.00,0.00,0.56,0.78,0.56,0.00,0.00,0.51,0.73,1.07,0.00,0.44,0.51,0.70,0.30,0.96,0.31,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00
doc6,0.00,0.00,0.00,0.00,0.00,0.00,2.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.89,0.00,0.00,0.00,0.00,1.16,0.00,0.53,0.44,0.00,1.19,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,0.51
doc7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.89,0.00,0.76,0.73,0.75,0.95,0.73,0.36,0.44,0.81,0.91,0.48,0.00,0.35,0.00,0.00,0.00,0.00,1.45,0.00,0.70,0.00,0.00,0.00,0.00,0.00
doc8,0.00,0.00,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.96,0.56,0.76,0.73,0.00,0.95,0.73,0.00,0.00,0.00,1.03,0.44,0.60,0.24,0.00,0.00,0.00,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
doc9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.96,0.56,0.76,0.00,0.00,0.73,0.00,0.47,0.57,0.66,0.91,0.30,0.89,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
doc10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.06,1.12,1.15,0.90,0.76,0.73,1.03,0.00,0.73,0.36,0.57,0.51,1.03,0.30,0.00,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.91,1.00,0.00,0.00,0.00,0.00
doc11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.78,0.00,0.00,1.16,0.51,0.73,0.73,0.47,0.00,0.00,0.91,0.00,1.07,0.39,0.00,0.76,0.00,0.00,1.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00
doc12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.89,0.73,0.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.60,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,1.06,0.00
